candidate_id,district,party,name,district_name,degree_status,domain,domain row,First Degree University,First Degree University,Second Degree,Second Degree University,Third Degree,Third Degree University,Fourth Degree,Fourth Degree University
1,1,Scottish Green,Nina Baker,Anderston,PhD,philosophy,,,,,,PhD of History,,,
2,1,Conservative,Erin Boyle,Anderston,"DofHE, BA",sociology,,"DofHE, Geography and Social Policy",University of Glasgow,"Bachelor of Arts (Honours), Journalism, Media and Communication",Glasgow Caledonian University,,,,
3,1,Labour,Philip Braat,Anderston,"MSc, LLB, LP","law, history",,Law,KU Leuven,"Bachelor of Laws; LLB (Hons), Law",University of Glasgow,"Diploma in Professional Legal Practice; Dip LP, Law",Glasgow Graduate School of Law,"MSc, Historical Studies",University of Strathclyde
4,1,Independent,Dave Holladay,Anderston,BS,science,,"Bachelor's degree, Mech Eng - specialising Design (Industrial/Mechanical) & Materials",University of Bradford,,,,,,
5,1,Solidarity,Akhtar Khan,Anderston,"BS, MSc",science,,"BS, Metallurgy and Materials Engineering",Ghulam Ishaq Institute of Engineering Sciences and Technology,"MSc, Composite Materials","The Imperial College of Science, Technology and Medicine",,,,
6,1,Liberal Democrats,Ann Laird,Anderston,NULL,NULL,,,,,,,,,
7,1,SNP,Craig Mackay,Anderston,None,business,,Strathclyde Business School,Strathclyde Business School,,,,,,
8,1,Labour,Gordon Matheson,Anderston,MA,sociology,,"MA (Hons) in Social Sciences, Sociology",University of Glasgow,"Post-Graduate Diploma, Equality and Discrimination",University of Strathclyde,,,,
9,1,Scottish Socialist,Peter Murray,Anderston,MS,"science,business, education",,Business with Accounts,Glasgow Caledonian University,"Master of Science - MS, Computing ",Glasgow Caledonian University,"PGDE, Secondary Education and Teaching",University of Strathclyde,,
10,2,Conservative,George Clark,Baillieston,NULL,NULL,,,,,,,,,
11,2,Labour,Jim Coleman,Baillieston,NULL,NULL,,,,,,,,,
12,2,Scottish Unionist,Ian Dickie,Baillieston,NULL,NULL,,,,,,,,,
13,2,Labour,Douglas Hay,Baillieston,NULL,NULL,,,,,,,,,
14,2,Solidarity,Michael Kayes,Baillieston,NULL,NULL,,,,,,,,,
15,2,Labour,Robert Macbean,Baillieston,NULL,NULL,,,,,,,,,
16,2,SNP,John Mason,Baillieston,,business,,Accounting,University of Glasgow,,,,,,
17,2,SNP,David Mcdonald,Baillieston,,,,,,,,,,,
18,2,Scottish Socialist,Jim Mcvicar,Baillieston,,,,,,,,,,,
19,2,Scottish Green,Raymond Morrison,Baillieston,,,,,,,,,,,
20,2,Liberal Democrats,Marjory Watt,Baillieston,,,,,,,,,,,
21,3,Independent,Gary Barton,Calton,,,,,,,,,,,
22,3,Scottish Green,Alasdair Duke - Wardrop,Calton,,,,,,,,,,,
23,3,Solidarity,Fiacra Fullerton,Calton,,,,,,,,,,,
24,3,Conservative,Scott Gillespie,Calton,,,,,,,,,,,
25,3,Liberal Democrats,Paul Graham,Calton,,,,,,,,,,,
26,3,Scottish Unionist,Danny Houston,Calton,,,,,,,,,,,
27,3,Scottish Socialist,Kenny Murray,Calton,,,,,,,,,,,
28,3,Labour,George Redmond,Calton,,,,,,,,,,,
29,3,Labour,Ruth Simpson,Calton,,,,,,,,,,,
30,3,SNP,Alison E Thewliss,Calton,,,,,,,,,,,
31,4,Scottish Unionist,Brian Brown,Canal,,,,,,,,,,,
32,4,Independent,James Cruickshank,Canal,,,,,,,,,,,
33,4,Liberal Democrats,Norman Fraser,Canal,,,,,,,,,,,
34,4,Labour,Ellen   Hurcombe,Canal,,,,,,,,,,,
35,4,Conservative,David E Ledgerwood,Canal,,,,,,,,,,,
36,4,Labour,Jim Mackechnie,Canal,,,,,,,,,,,
37,4,Labour,Haleema Malik,Canal,,,,,,,,,,,
38,4,SNP,Billy Mcallister,Canal,,,,,,,,,,,
39,4,Solidarity,Angela Mccormick,Canal,,,,,,,,,,,
40,4,Scottish Socialist,Kirsteen Redpath,Canal,,,,,,,,,,,
41,4,Scottish Green,Kieran  Wild,Canal,,,,,,,,,,,
42,5,Solidarity,Ruth Black,Craigton,,,,,,,,,,,
43,5,Liberal Democrats,Scott R Coghill,Craigton,,,,,,,,,,,
44,5,Scottish Unionist,Mark Dingwall,Craigton,,,,,,,,,,,
45,5,SNP,Iris Gibson,Craigton,,,,,,,,,,,
46,5,Labour,Matthew John Kerr,Craigton,,,,,,,,,,,
47,5,Labour,Gordon Macdiarmid,Craigton,,,,,,,,,,,
48,5,Scottish Green,Gordon Masterton,Craigton,,,,,,,,,,,
49,5,Scottish Socialist,Wullie Mcgartland,Craigton,,,,,,,,,,,
